fraction,seed,model,test_acc,n_train_examples
1.0,0,dense_baseline,0.9884,60000
1.0,0,kwta_sparse,0.9902,60000
1.0,1,dense_baseline,0.9916,60000
1.0,1,kwta_sparse,0.9899,60000
1.0,2,dense_baseline,0.9901,60000
1.0,2,kwta_sparse,0.9904,60000
0.5,0,dense_baseline,0.9847,30000
0.5,0,kwta_sparse,0.9839,30000
0.5,1,dense_baseline,0.9879,30000
0.5,1,kwta_sparse,0.9849,30000
0.5,2,dense_baseline,0.9836,30000
0.5,2,kwta_sparse,0.9838,30000
0.1,0,dense_baseline,0.9599,6000
0.1,0,kwta_sparse,0.96,6000
0.1,1,dense_baseline,0.9733,6000
0.1,1,kwta_sparse,0.9661,6000
0.1,2,dense_baseline,0.9751,6000
0.1,2,kwta_sparse,0.963,6000
0.05,0,dense_baseline,0.9595,3000
0.05,0,kwta_sparse,0.9327,3000
0.05,1,dense_baseline,0.9595,3000
0.05,1,kwta_sparse,0.9374,3000
0.05,2,dense_baseline,0.9623,3000
0.05,2,kwta_sparse,0.9426,3000
0.01,0,dense_baseline,0.8742,600
0.01,0,kwta_sparse,0.8134,600
0.01,1,dense_baseline,0.8799,600
0.01,1,kwta_sparse,0.8212,600
0.01,2,dense_baseline,0.8682,600
0.01,2,kwta_sparse,0.8263,600
