protocol,git_commit,shots_per_class,n_train_examples,seed,model,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,train_seconds
v2,9e7874f-dirty,60,600,0,dense_baseline,2400,0,0.9236,1200,0.9299,206922,,86.0,0.8912,0.849,40.6
v2,9e7874f-dirty,60,600,0,kwta_sparse,1500,0,0.9018,300,0.9031,206922,0.4886,26.0,0.7752,0.6677,35.2
v2,9e7874f-dirty,60,600,1,dense_baseline,3000,0,0.9298,1800,0.935,206922,,77.4,0.8944,0.8427,50.4
v2,9e7874f-dirty,60,600,1,kwta_sparse,2600,0,0.924,1400,0.9312,206922,0.4773,26.0,0.6983,0.5557,60.8
v2,9e7874f-dirty,60,600,2,dense_baseline,2600,0,0.9224,1400,0.9264,206922,,68.4,0.8403,0.7587,43.9
v2,9e7874f-dirty,60,600,2,kwta_sparse,1600,0,0.8998,400,0.9095,206922,0.4659,26.0,0.7449,0.6104,37.6
v2,9e7874f-dirty,300,3000,0,dense_baseline,2300,0,0.9696,1100,0.9719,206922,,73.6,0.8271,0.7116,38.8
v2,9e7874f-dirty,300,3000,0,kwta_sparse,2400,0,0.9654,1200,0.9671,206922,0.4886,25.7,0.7346,0.6006,56.3
v2,9e7874f-dirty,300,3000,1,dense_baseline,2600,0,0.966,1400,0.9681,206922,,70.1,0.8229,0.7215,43.9
v2,9e7874f-dirty,300,3000,1,kwta_sparse,2700,0,0.9592,1500,0.9621,206922,0.4943,25.9,0.6969,0.5474,63.5
v2,9e7874f-dirty,300,3000,2,dense_baseline,2000,0,0.9716,800,0.9683,206922,,68.5,0.7935,0.6719,34.1
v2,9e7874f-dirty,300,3000,2,kwta_sparse,4000,1,0.9674,3500,0.9685,206922,0.483,25.7,0.722,0.5939,94.8
v2,9e7874f-dirty,600,6000,0,dense_baseline,4000,1,0.9782,3000,0.9801,206922,,65.5,0.7408,0.5449,80.6
v2,9e7874f-dirty,600,6000,0,kwta_sparse,4000,1,0.9792,3500,0.9785,206922,0.4716,24.1,0.6492,0.4537,112.3
v2,9e7874f-dirty,600,6000,1,dense_baseline,3000,0,0.9744,1800,0.9771,206922,,59.7,0.7659,0.6031,69.3
v2,9e7874f-dirty,600,6000,1,kwta_sparse,3900,0,0.9738,2700,0.9755,206922,0.4716,23.5,0.6852,0.4999,101.1
v2,9e7874f-dirty,600,6000,2,dense_baseline,3100,0,0.98,1900,0.9818,206922,,54.3,0.7444,0.5712,56.8
v2,9e7874f-dirty,600,6000,2,kwta_sparse,4000,1,0.979,2900,0.9793,206922,0.4602,24.0,0.7012,0.5083,99.2
v2,9e7874f-dirty,3000,30000,0,dense_baseline,4000,1,0.987,3100,0.9868,206922,,48.2,0.6957,0.4669,77.0
v2,9e7874f-dirty,3000,30000,0,kwta_sparse,4000,1,0.9872,4000,0.9882,206922,0.4602,21.2,0.6325,0.401,97.8
v2,9e7874f-dirty,3000,30000,1,dense_baseline,4000,1,0.988,3300,0.9879,206922,,52.3,0.6937,0.444,83.9
v2,9e7874f-dirty,3000,30000,1,kwta_sparse,4000,1,0.9878,3900,0.9872,206922,0.4716,20.6,0.6558,0.4116,128.5
v2,9e7874f-dirty,3000,30000,2,dense_baseline,4000,1,0.9872,3200,0.9879,206922,,47.1,0.7073,0.4833,84.9
v2,9e7874f-dirty,3000,30000,2,kwta_sparse,4000,1,0.9868,3500,0.9864,206922,0.4545,23.0,0.6608,0.4366,124.1
v2,9e7874f-dirty,4800,48000,0,dense_baseline,4000,1,0.9884,3700,0.9882,206922,,46.6,0.6784,0.4319,86.5
v2,9e7874f-dirty,4800,48000,0,kwta_sparse,4000,1,0.9876,3700,0.9888,206922,0.4432,21.6,0.6368,0.3955,103.3
v2,9e7874f-dirty,4800,48000,1,dense_baseline,4000,1,0.9892,3800,0.9887,206922,,45.8,0.6677,0.4009,77.8
v2,9e7874f-dirty,4800,48000,1,kwta_sparse,4000,1,0.9864,3800,0.9875,206922,0.4489,21.2,0.6404,0.3961,131.1
v2,9e7874f-dirty,4800,48000,2,dense_baseline,4000,1,0.989,3500,0.9897,206922,,45.2,0.6801,0.4172,79.9
v2,9e7874f-dirty,4800,48000,2,kwta_sparse,3800,0,0.988,2600,0.9877,206922,0.4489,21.9,0.6651,0.4552,216.8
