protocol,git_commit,arm,dim,boost,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,dead_by_layer,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1,e2f99ea-dirty,dense,-,0.0,60,600,0,2400,0,0.9236,1200,0.9299,206922,,,86.0,0.8912,0.849,0.0421,40.5
stage1,e2f99ea-dirty,kwta_global,global,0.0,60,600,0,1500,0,0.9018,300,0.9031,206922,0.4886,"{""conv1"": 0.0, ""conv2"": 0.062, ""fc"": 0.656}",26.0,0.7752,0.6677,0.1075,33.4
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,60,600,0,2600,0,0.9216,1400,0.9203,206922,0.4205,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.57}",25.5,0.6367,0.4833,0.1534,60.8
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,60,600,0,2200,0,0.9386,1000,0.941,206922,0.4489,"{""conv1"": 0.0, ""conv2"": 0.25, ""fc"": 0.555}",26.0,0.7079,0.5582,0.1496,44.2
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,60,600,0,2000,0,0.8902,800,0.8914,206922,0.3977,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.539}",26.0,0.6221,0.4358,0.1863,40.7
stage1,e2f99ea-dirty,dense,-,0.0,60,600,1,3000,0,0.9298,1800,0.935,206922,,,77.4,0.8944,0.8427,0.0517,50.3
stage1,e2f99ea-dirty,kwta_global,global,0.0,60,600,1,2600,0,0.924,1400,0.9312,206922,0.4773,"{""conv1"": 0.0, ""conv2"": 0.156, ""fc"": 0.617}",26.0,0.6983,0.5557,0.1426,58.2
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,60,600,1,2600,0,0.9024,1400,0.9113,206922,0.4432,"{""conv1"": 0.0, ""conv2"": 0.094, ""fc"": 0.586}",25.4,0.6464,0.4879,0.1585,62.5
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,60,600,1,4000,1,0.945,2900,0.9517,206922,0.4034,"{""conv1"": 0.062, ""conv2"": 0.062, ""fc"": 0.531}",25.9,0.6879,0.5009,0.187,83.5
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,60,600,1,2000,0,0.8382,800,0.8495,206922,0.4432,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.602}",26.0,0.7048,0.5449,0.1599,41.7
stage1,e2f99ea-dirty,dense,-,0.0,60,600,2,2600,0,0.9224,1400,0.9264,206922,,,68.4,0.8403,0.7587,0.0817,45.4
stage1,e2f99ea-dirty,kwta_global,global,0.0,60,600,2,1600,0,0.8998,400,0.9095,206922,0.4659,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.633}",26.0,0.7449,0.6104,0.1344,37.2
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,60,600,2,2300,0,0.8492,1100,0.8561,206922,0.4375,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.594}",25.7,0.6597,0.5056,0.154,55.5
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,60,600,2,1800,0,0.9376,600,0.9407,206922,0.4205,"{""conv1"": 0.0, ""conv2"": 0.094, ""fc"": 0.555}",26.0,0.7247,0.553,0.1717,36.6
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,60,600,2,1600,0,0.8146,400,0.8269,206922,0.4375,"{""conv1"": 0.0, ""conv2"": 0.062, ""fc"": 0.586}",26.0,0.6869,0.5057,0.1812,35.8
stage1,e2f99ea-dirty,dense,-,0.0,60,600,3,2200,0,0.9264,1000,0.9312,206922,,,69.7,0.8808,0.8166,0.0642,40.0
stage1,e2f99ea-dirty,kwta_global,global,0.0,60,600,3,1600,0,0.914,400,0.9146,206922,0.4773,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.648}",26.0,0.7163,0.5573,0.159,36.6
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,60,600,3,1600,0,0.6528,400,0.6633,206922,0.4375,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.602}",26.0,0.6884,0.5429,0.1455,38.1
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,60,600,3,4000,1,0.9434,3200,0.9483,206922,0.4489,"{""conv1"": 0.0, ""conv2"": 0.156, ""fc"": 0.578}",26.0,0.6565,0.4546,0.2019,84.7
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,60,600,3,1900,0,0.87,700,0.8663,206922,0.4148,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.562}",26.0,0.6574,0.4801,0.1774,40.0
stage1,e2f99ea-dirty,dense,-,0.0,60,600,4,1600,0,0.9168,400,0.9232,206922,,,70.9,0.8834,0.8227,0.0607,27.2
stage1,e2f99ea-dirty,kwta_global,global,0.0,60,600,4,1600,0,0.9084,400,0.9082,206922,0.4318,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.594}",26.0,0.7164,0.5964,0.12,36.7
