protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1b,9a90e99,dense,,10,100,0,1500,0,0.8122,300,0.8238,206922,,88.0,0.923,0.8996,0.0234,26.7
stage1b,9a90e99,kwta_ch_k0.05,0.05,10,100,0,2200,0,0.7722,1000,0.779,206922,0.7216,6.0,0.4861,0.267,0.2191,45.7
stage1b,9a90e99,kwta_ch_k0.1,0.1,10,100,0,2700,0,0.7868,1500,0.8007,206922,0.5909,13.0,0.532,0.3449,0.1871,56.6
stage1b,9a90e99,kwta_ch_k0.2,0.2,10,100,0,2600,0,0.7886,1400,0.799,206922,0.4716,26.0,0.6237,0.4821,0.1417,54.6
stage1b,9a90e99,kwta_ch_k0.4,0.4,10,100,0,1600,0,0.8002,400,0.8075,206922,0.358,51.0,0.7905,0.6983,0.0922,36.8
stage1b,9a90e99,dense,,10,100,1,1300,0,0.8114,100,0.822,206922,,84.1,0.9138,0.8866,0.0272,23.6
stage1b,9a90e99,kwta_ch_k0.05,0.05,10,100,1,2700,0,0.807,1500,0.8068,206922,0.7102,6.0,0.5212,0.2688,0.2524,55.9
stage1b,9a90e99,kwta_ch_k0.1,0.1,10,100,1,2700,0,0.8094,1500,0.8218,206922,0.6307,13.0,0.6056,0.3911,0.2145,60.6
stage1b,9a90e99,kwta_ch_k0.2,0.2,10,100,1,2800,0,0.8202,1600,0.8224,206922,0.4943,26.0,0.7018,0.5428,0.159,64.1
stage1b,9a90e99,kwta_ch_k0.4,0.4,10,100,1,1500,0,0.7834,300,0.788,206922,0.3693,51.0,0.7865,0.6953,0.0912,35.9
stage1b,9a90e99,dense,,10,100,2,1300,0,0.7866,100,0.8042,206922,,68.3,0.8853,0.8442,0.0411,23.3
stage1b,9a90e99,kwta_ch_k0.05,0.05,10,100,2,4000,1,0.7686,3200,0.7702,206922,0.733,6.0,0.4752,0.2439,0.2313,83.6
stage1b,9a90e99,kwta_ch_k0.1,0.1,10,100,2,3700,0,0.7938,2500,0.7971,206922,0.5852,13.0,0.5732,0.3984,0.1748,75.7
stage1b,9a90e99,kwta_ch_k0.2,0.2,10,100,2,2400,0,0.7846,1200,0.8071,206922,0.4545,26.0,0.6488,0.5005,0.1483,50.8
stage1b,9a90e99,kwta_ch_k0.4,0.4,10,100,2,1300,0,0.7678,100,0.7864,206922,0.3466,51.0,0.8097,0.7349,0.0748,28.8
stage1b,9a90e99,dense,,10,100,3,4000,1,0.7892,3600,0.792,206922,,77.2,0.9117,0.8803,0.0314,70.9
stage1b,9a90e99,kwta_ch_k0.05,0.05,10,100,3,2200,0,0.7814,1000,0.7831,206922,0.7102,6.0,0.4813,0.267,0.2143,44.4
stage1b,9a90e99,kwta_ch_k0.1,0.1,10,100,3,2100,0,0.7906,900,0.7818,206922,0.5852,13.0,0.5498,0.34,0.2098,43.8
