protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage2_power,ecf887f-dirty,dense,,10,100,0,1500,0,0.8122,300,0.8238,206922,,88.0,0.923,0.8996,0.0234,26.2
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,0,2600,0,0.7886,1400,0.799,206922,0.4716,26.0,0.6237,0.4821,0.1417,52.3
stage2_power,ecf887f-dirty,dense,,10,100,1,1300,0,0.8114,100,0.822,206922,,84.1,0.9138,0.8866,0.0272,22.0
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,1,2800,0,0.8202,1600,0.8224,206922,0.4943,26.0,0.7018,0.5428,0.159,56.8
stage2_power,ecf887f-dirty,dense,,10,100,2,1300,0,0.7866,100,0.8042,206922,,68.3,0.8853,0.8442,0.0411,22.0
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,2,2400,0,0.7846,1200,0.8071,206922,0.4545,26.0,0.6488,0.5005,0.1483,48.3
stage2_power,ecf887f-dirty,dense,,10,100,3,4000,1,0.7892,3600,0.792,206922,,77.2,0.9117,0.8803,0.0314,67.5
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,3,2100,0,0.8056,900,0.7969,206922,0.4773,26.0,0.6917,0.5203,0.1713,43.9
stage2_power,ecf887f-dirty,dense,,10,100,4,1300,0,0.8072,100,0.809,206922,,72.1,0.898,0.8596,0.0384,22.2
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,4,1800,0,0.7838,600,0.7859,206922,0.4602,26.0,0.6554,0.5015,0.1538,37.3
stage2_power,ecf887f-dirty,dense,,10,100,5,4000,1,0.7986,4000,0.8142,206922,,78.8,0.9039,0.8749,0.029,68.2
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,5,3800,0,0.776,2600,0.7821,206922,0.5,26.0,0.6606,0.5168,0.1438,83.7
stage2_power,ecf887f-dirty,dense,,10,100,6,2700,0,0.8022,1500,0.8058,206922,,72.2,0.9221,0.8948,0.0273,45.9
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,6,1600,0,0.8132,400,0.8262,206922,0.5227,26.0,0.693,0.5712,0.1218,33.1
stage2_power,ecf887f-dirty,dense,,10,100,7,1400,0,0.798,200,0.8138,206922,,64.4,0.9294,0.9067,0.0227,23.8
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,7,3100,0,0.7962,1900,0.8074,206922,0.517,26.0,0.7039,0.5593,0.1446,63.6
stage2_power,ecf887f-dirty,dense,,10,100,8,1700,0,0.7916,500,0.807,206922,,82.0,0.9273,0.9039,0.0234,29.0
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,8,3700,0,0.7904,2500,0.795,206922,0.4943,26.0,0.6594,0.4995,0.1599,74.8
stage2_power,ecf887f-dirty,dense,,10,100,9,1400,0,0.8298,200,0.8388,206922,,83.9,0.8877,0.8494,0.0383,25.7
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,9,3200,0,0.8334,2000,0.8475,206922,0.4716,26.0,0.6778,0.5001,0.1778,66.5
stage2_power,ecf887f-dirty,dense,,10,100,10,2900,0,0.8036,1700,0.8081,206922,,72.8,0.9256,0.9028,0.0228,49.3
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,10,1800,0,0.8174,600,0.8194,206922,0.4943,26.0,0.6894,0.5436,0.1458,37.0
stage2_power,ecf887f-dirty,dense,,10,100,11,1300,0,0.8366,100,0.8404,206922,,78.2,0.9194,0.8852,0.0341,22.6
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,11,2200,0,0.8408,1000,0.8427,206922,0.4659,26.0,0.6673,0.5239,0.1434,45.0
stage2_power,ecf887f-dirty,dense,,10,100,12,4000,1,0.8154,2800,0.8198,206922,,71.6,0.9239,0.8929,0.031,68.1
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,12,2900,0,0.8228,1700,0.813,206922,0.483,26.0,0.6814,0.5265,0.1549,59.6
stage2_power,ecf887f-dirty,dense,,10,100,13,4000,1,0.7922,2800,0.7944,206922,,81.2,0.9152,0.8851,0.0301,69.3
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,13,3800,0,0.808,2600,0.8097,206922,0.4943,26.0,0.6478,0.4828,0.165,78.5
stage2_power,ecf887f-dirty,dense,,10,100,14,2200,0,0.7854,1000,0.802,206922,,79.1,0.9096,0.8798,0.0298,38.0
stage2_power,ecf887f-dirty,kwta_channel,0.2,10,100,14,1600,0,0.7988,400,0.7989,206922,0.4659,26.0,0.6284,0.4741,0.1543,31.9
stage2_power,ecf887f-dirty,dense,,10,100,15,2200,0,0.8086,1000,0.8215,206922,,88.9,0.9037,0.8705,0.0333,37.2
