protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage2_control,ecf887f-dirty,dense,,30,300,0,3700,0,0.9024,2500,0.9053,206922,,85.8,0.8866,0.8476,0.0391,64.8
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,0,4000,1,0.907,3000,0.9124,206922,0.517,26.0,0.7148,0.5745,0.1402,84.5
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,0,4000,1,0.7866,3800,0.7909,206922,,7.8,0.0821,0.0434,0.0387,109.4
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,0,4000,1,0.9146,3900,0.9158,206922,,44.2,0.638,0.2109,0.4271,70.4
stage2_control,ecf887f-dirty,dense,,30,300,1,2400,0,0.8912,1200,0.8994,206922,,76.3,0.8957,0.8533,0.0424,41.2
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,1,1800,0,0.901,600,0.9071,206922,0.5227,26.0,0.6773,0.5151,0.1623,37.7
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,1,4000,1,0.788,3900,0.7895,206922,,7.9,0.0838,0.0437,0.0401,107.3
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,1,4000,1,0.907,3700,0.9108,206922,,42.0,0.6289,0.2016,0.4273,71.0
stage2_control,ecf887f-dirty,dense,,30,300,2,2000,0,0.8888,800,0.8933,206922,,73.9,0.8781,0.8162,0.0619,34.3
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,2,3900,0,0.9026,2700,0.909,206922,0.5511,26.0,0.7236,0.5768,0.1468,80.7
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,2,4000,1,0.7858,3600,0.7847,206922,,7.8,0.0808,0.0423,0.0386,106.4
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,2,4000,1,0.9122,3900,0.9151,206922,,41.5,0.6316,0.2008,0.4308,70.8
stage2_control,ecf887f-dirty,dense,,30,300,3,2100,0,0.8914,900,0.9032,206922,,64.3,0.8989,0.8574,0.0414,36.1
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,3,2500,0,0.9192,1300,0.919,206922,0.4034,26.0,0.7204,0.5508,0.1696,51.8
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,3,4000,1,0.787,3600,0.7808,206922,,7.2,0.0821,0.0431,0.0391,107.6
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,3,4000,1,0.9128,4000,0.9165,206922,,45.3,0.6391,0.224,0.415,70.6
stage2_control,ecf887f-dirty,dense,,30,300,4,1400,0,0.8734,200,0.8862,206922,,70.7,0.9004,0.8548,0.0456,24.1
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,4,2600,0,0.9176,1400,0.9174,206922,0.3466,26.0,0.6363,0.4678,0.1685,53.3
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,4,4000,1,0.7916,4000,0.7948,206922,,7.9,0.084,0.0423,0.0418,107.6
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,4,4000,1,0.9148,3800,0.9186,206922,,41.0,0.6231,0.1908,0.4324,71.6
stage2_control,ecf887f-dirty,dense,,30,300,5,4000,1,0.8954,3500,0.896,206922,,84.3,0.9145,0.8873,0.0272,68.9
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,5,4000,1,0.9052,3100,0.9133,206922,0.4602,26.0,0.6461,0.4589,0.1872,85.3
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,5,4000,1,0.7948,3300,0.7958,206922,,8.7,0.0824,0.0457,0.0367,111.0
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,5,4000,1,0.9126,3200,0.9159,206922,,43.9,0.6331,0.2087,0.4243,72.2
stage2_control,ecf887f-dirty,dense,,30,300,6,1500,0,0.8724,300,0.8839,206922,,73.1,0.8803,0.8291,0.0512,27.6
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,6,3500,0,0.9064,2300,0.9085,206922,0.4205,26.0,0.6978,0.5377,0.1601,75.5
stage2_control,ecf887f-dirty,randk_channel,0.2,30,300,6,4000,1,0.7426,4000,0.7435,206922,,6.8,0.0806,0.043,0.0376,110.7
stage2_control,ecf887f-dirty,dropout_matched,0.2,30,300,6,4000,1,0.8984,4000,0.9065,206922,,38.8,0.6156,0.1943,0.4214,71.7
stage2_control,ecf887f-dirty,dense,,30,300,7,2200,0,0.9008,1000,0.9067,206922,,64.5,0.9008,0.8634,0.0374,38.7
stage2_control,ecf887f-dirty,kwta_channel,0.2,30,300,7,4000,1,0.9098,4000,0.9138,206922,0.5057,26.0,0.6951,0.5299,0.1652,84.7
