protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,eff_conv1,eff_conv2,eff_fc,overlap_same,overlap_diff,separation,train_seconds
stage2b_randk_matched,73f1037-dirty,dense,,30,300,0,3700,0,0.9024,2500,0.9053,206922,,85.8,5.226,22.325,85.609,0.8866,0.8476,0.0391,65.3
stage2b_randk_matched,73f1037-dirty,kwta_channel,0.2,30,300,0,4000,1,0.907,3000,0.9124,206922,0.517,26.0,3.0,6.0,26.0,0.7148,0.5745,0.1402,85.9
stage2b_randk_matched,73f1037-dirty,randk_matched,0.2,30,300,0,4000,1,0.895,3900,0.8972,206922,,26.0,2.96,4.798,26.0,0.337,0.1823,0.1547,112.3
stage2b_randk_matched,73f1037-dirty,randk_nominal,0.2,30,300,0,4000,1,0.7866,3800,0.7909,206922,,7.8,1.063,2.647,7.782,0.0821,0.0434,0.0387,108.9
stage2b_randk_matched,73f1037-dirty,dense,,30,300,1,2400,0,0.8912,1200,0.8994,206922,,76.3,5.785,24.859,76.048,0.8957,0.8533,0.0424,42.1
stage2b_randk_matched,73f1037-dirty,kwta_channel,0.2,30,300,1,1800,0,0.901,600,0.9071,206922,0.5227,26.0,3.0,6.0,26.0,0.6773,0.5151,0.1623,38.5
stage2b_randk_matched,73f1037-dirty,randk_matched,0.2,30,300,1,4000,1,0.8794,3200,0.8821,206922,,25.9,2.445,5.259,25.935,0.3774,0.1957,0.1817,111.6
stage2b_randk_matched,73f1037-dirty,randk_nominal,0.2,30,300,1,4000,1,0.788,3900,0.7895,206922,,7.9,1.253,2.744,7.758,0.0838,0.0437,0.0401,111.6
stage2b_randk_matched,73f1037-dirty,dense,,30,300,2,2000,0,0.8888,800,0.8933,206922,,73.9,6.423,20.987,73.72,0.8781,0.8162,0.0619,35.4
stage2b_randk_matched,73f1037-dirty,kwta_channel,0.2,30,300,2,3900,0,0.9026,2700,0.909,206922,0.5511,26.0,3.0,6.0,26.0,0.7236,0.5768,0.1468,84.2
stage2b_randk_matched,73f1037-dirty,randk_matched,0.2,30,300,2,4000,1,0.8944,4000,0.899,206922,,25.9,3.0,5.334,25.918,0.4091,0.2115,0.1976,112.9
stage2b_randk_matched,73f1037-dirty,randk_nominal,0.2,30,300,2,4000,1,0.7858,3600,0.7847,206922,,7.8,1.191,2.255,7.932,0.0808,0.0423,0.0386,110.7
stage2b_randk_matched,73f1037-dirty,dense,,30,300,3,2100,0,0.8914,900,0.9032,206922,,64.3,9.961,20.938,64.301,0.8989,0.8574,0.0414,37.7
stage2b_randk_matched,73f1037-dirty,kwta_channel,0.2,30,300,3,2500,0,0.9192,1300,0.919,206922,0.4034,26.0,3.0,6.0,25.989,0.7204,0.5508,0.1696,54.0
stage2b_randk_matched,73f1037-dirty,randk_matched,0.2,30,300,3,4000,1,0.9058,3600,0.9121,206922,,25.9,3.0,5.605,25.876,0.4584,0.245,0.2133,112.1
