protocol,git_commit,device,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,active_units,dead_frac_conv1,dead_frac_conv2,dead_frac_fc,dead_frac_all,overlap_same,overlap_diff,separation,train_seconds
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,30,300,0,1500,0,0.3092,300,0.3023,268650,73.8,0.0,0.0,0.3438,0.25,0.8407,0.8252,0.0155,40.8
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,30,300,0,2300,0,0.3014,1100,0.2966,268650,26.0,0.0,0.0938,0.5469,0.4148,0.5326,0.4963,0.0362,75.8
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,30,300,0,2400,0,0.241,1200,0.243,268650,42.6,0.0,0.0,0.0547,0.0398,0.3657,0.2809,0.0848,65.9
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,30,300,1,1400,0,0.3362,200,0.3448,268650,82.2,0.0,0.0,0.2812,0.2045,0.8652,0.854,0.0112,38.0
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,30,300,1,2300,0,0.3094,1100,0.3228,268650,26.0,0.0,0.0625,0.5234,0.392,0.5059,0.4782,0.0277,75.5
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,30,300,1,3600,0,0.2808,2400,0.2778,268650,42.1,0.0,0.0,0.0,0.0,0.3005,0.2377,0.0628,102.4
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,30,300,2,1400,0,0.3356,200,0.3375,268650,85.2,0.0,0.0,0.2422,0.1761,0.855,0.8395,0.0155,37.6
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,30,300,2,1800,0,0.3122,600,0.3181,268650,26.0,0.0,0.0625,0.5625,0.4205,0.4828,0.4466,0.0362,57.4
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,30,300,2,4000,1,0.292,2800,0.276,268650,36.0,0.0,0.0,0.0312,0.0227,0.2845,0.2323,0.0522,114.1
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,60,600,0,1300,0,0.3726,100,0.3724,268650,65.1,0.0,0.0,0.375,0.2727,0.7974,0.7706,0.0268,34.9
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,60,600,0,3200,0,0.3588,2000,0.3544,268650,24.9,0.0,0.0312,0.6094,0.4489,0.5616,0.5141,0.0475,106.6
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,60,600,0,4000,1,0.2842,3300,0.2839,268650,43.8,0.0,0.0,0.0234,0.017,0.3415,0.2527,0.0888,120.9
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,60,600,1,2000,0,0.384,800,0.377,268650,68.5,0.0,0.0,0.3906,0.2841,0.8391,0.8228,0.0164,58.7
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,60,600,1,3500,0,0.3682,2300,0.3585,268650,24.8,0.0,0.0312,0.6406,0.4716,0.5716,0.5296,0.042,126.3
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,60,600,1,4000,1,0.2756,3800,0.2721,268650,42.2,0.0,0.0,0.0156,0.0114,0.3714,0.2593,0.112,111.3
cifar_v1_pilot,0cb0e45-dirty,cpu,dense,,60,600,2,1400,0,0.3846,200,0.3826,268650,55.4,0.0,0.0,0.4766,0.3466,0.7904,0.7639,0.0265,38.3
cifar_v1_pilot,0cb0e45-dirty,cpu,kwta_channel,0.2,60,600,2,2500,0,0.3782,1300,0.3709,268650,24.7,0.0,0.0312,0.5859,0.4318,0.5557,0.5059,0.0498,82.3
cifar_v1_pilot,0cb0e45-dirty,cpu,dropout,0.2,60,600,2,4000,1,0.294,4000,0.2913,268650,43.5,0.0,0.0,0.0312,0.0227,0.4056,0.2882,0.1174,110.5
